연도,계약명,수행용역
2008,광명역세권 택지개발지 복합,주택 성능등급인정
2008,달성2차,친환경건축물 인증
2008,달성2차,주택 성능등급인정
2008,성남판교 2공 A26-1A27-1공동,친환경건축물 인증
2008,대전 서남부택지지 8 B,소음예측
2008,대전 서남부택지지 8 B,건축물 에너지효율등급
2008,대전 서남부택지지 8 B,친환경건축물 인증
2008,대전 서남부택지지 8 B,주택 성능등급인정
2008,인천 청라지 A20-블럭,친환경건축물 인증
2008,인천 청라지 A20-블럭,주택 성능등급인정
2008,도로 설물,"일조, 조망"
2008,덕이지 공동,"일조, 조망"
2008,국립해양박물관 임대형 민자투자,기술제안
2008,대전탄방동 메티컬,친환경건축물 인증
2008,부산 명지지 A1-A3-A4-블록 퀸덤,친환경건축물 인증
2008,양주고읍택지개발지 A-10BL,주택 성능등급인정
2008,시흥능곡,친환경건축물 인증
2008,남양주 진접 2,친환경건축물 인증
2008,남양주 진접 13,친환경건축물 인증
2008,천안 청수동 신축 공동,CFD
2008,하남 풍산중,친환경건축물 인증
2008,상암 DM C,기술제안
2008,신천동 루터회관,친환경건축물 인증
2008,김포 한강신도 AC-14블럭 우남퍼스트빌...,소음예측
2008,김포 한강신도 AC-14블럭 우남퍼스트빌...,소음실측
2008,김포 한강신도 AC-14블럭 우남퍼스트빌...,친환경건축물 인증
2008,김포 한강신도 AC-14블럭 우남퍼스트빌...,주택 성능등급인정
2008,대 삼덕동 주거환경개선,친환경건축물 인증
2008,대 삼덕동 주거환경개선 -,주택 성능등급인정
2008,롯데 심양 마스터플랜,기술제안
2008,상봉동 주상복합,건축물 에너지효율등급
2008,상봉동 주상복합,친환경건축물 인증
2008,상봉동 주상복합,주택 성능등급인정
2008,용인보라지 연립,친환경건축물 인증
2008,청담한양아파트 재건축,친환경건축물 인증
2008,숭인동 766번지 종로청계힐스테이트 신축...,"일조, 조망"
2008,신도림 복합,"일조, 조망"
2008,신도림 복합,결로
2008,신도림 복합,CFD
2008,신도림 복합,연돌 시뮬레이션
2008,신도림 복합,"에너지 시뮬레이션, 기계설비 성능점검"
