연도,계약명,발주처,수행용역
2006,영덕-오산간 광역도로 건설사업(지방도 311호선) 제2공구 기본설계 기상관측 및 위험도 분석,㈜용마엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,"영덕-오산간 광역도로 건설사업(지방도 311호선) 대안설계용역 (직광 및 음영분석, 주행심리분석, 3차원소음분석)",㈜제일엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,김해 율하지구 11블록 e-편한세상 친환경건축물 예비인증 용역,랜드마크씨앤디㈜,친환경건축물 예비인증
2006,연간단위 일조 및 조망환경 영향 분석 용역 계약,지에스건설㈜,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,"광주수완지구 14-1,2블록 현진에버빌 신축공사",㈜현진에버빌,친환경건축물 예비인증
2006,"광주수완지구 7-1,2블록 현진에버빌 신축공사",㈜현진에버빌,친환경건축물 예비인증
2006,은평뉴타운 1지구 C공구 친환경건축물 예비인증 용역,㈜무영종합건축사사무소,친환경건축물 예비인증
2006,은평뉴타운 1지구 B공구 친환경건축물 예비인증 용역,㈜희림종합건축사사무소,친환경건축물 예비인증
2006,은평뉴타운 1지구 B공구 친환경건축물 예비인증 용역,건축사사사무소 예주,친환경건축물 예비인증
2006,청주 강서1지구 호반베르디움 친환경건축물 예비인증 취득 용역,호반건설산업㈜,친환경건축물 예비인증
2006,"진달래 1차아파트 재건축 전후의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜경일감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,"진달래 1차아파트 재건축 전후의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜삼창감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,성남판교 수질복원센터 시설공사 T/K 기본설계 용역 (에너지시물레이션/피난 및 화재 시물레이션),㈜동호,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,광주수완지구 C16-2블럭 우미 린 1차아파트 친.환경 건축물 예비 및 본인증 대행용역,㈜선우건설,친환경건축물 예비인증
2006,광주수완지구 C16-2블럭 우미 린 1차아파트 친.환경 건축물 예비 및 본인증 대행용역,㈜선우건설,친환경건축물 본인증
2006,"광주수완지구 C12-1,2,3블럭 우미 린 2차아파트 친환경건축물 예비 및 본인증 대행 용역",㈜선우산업개발,친환경건축물 예비인증
2006,"광주수완지구 C12-1,2,3블럭 우미 린 2차아파트 친환경건축물 예비 및 본인증 대행 용역",㈜선우산업개발,친환경건축물 본인증
2006,"광주수완지구 C12-1,2,3블럭 우미 린 2차아파트 친환경건축물 예비 및 본인증 대행 용역",㈜서산건설,친환경건축물 예비인증
2006,"광주수완지구 C12-1,2,3블럭 우미 린 2차아파트 친환경건축물 예비 및 본인증 대행 용역",㈜서산건설,친환경건축물 본인증
2006,"광주수완지구 C12-1,2,3블럭 우미 린 2차아파트 친환경건축물 예비 및 본인증 대행 용역",㈜서산종합건설,친환경건축물 예비인증
2006,"광주수완지구 C12-1,2,3블럭 우미 린 2차아파트 친환경건축물 예비 및 본인증 대행 용역",㈜서산종합건설,친환경건축물 본인증
2006,국직 동빙고 관사 민자투자 시설사업(BTL) 설계용역,㈜무영종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,국직 동빙고 관사 민자투자 시설사업(BTL) 설계용역,㈜KAS종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,"인천소래지구 A1, 3BL 공동주택 설계용역 자연환기 심의에 관련된 보고서 및 시뮬레이션",㈜희림종합건축사사무소,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,김포 장기지구 8BL 우미아파트 신축공사 친환경 인증,㈜심우산업개발,친환경건축물 본인증
2006,시흥시 능곡지구 12BL 신안인스빌 신축공사,신안종합건설,친환경건축물 예비인증
2006,"여수산단 진입도로 개설공사(4공구) 안개, 조류, 풍압영향분석",㈜한국해외기술공사,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,의왕청계지구 C-1BL 공동주택 친환경 건축물 예비인증 용역,건축사사무소 발해,친환경건축물 예비인증
2006,"은평뉴타운 2지구 B공구(2,3,5,11단지) 친환경건축물 예비인증 용역",동부건설㈜,친환경건축물 예비인증
2006,창호의 결로방지 성능기준 수립,현대건설㈜,결로
2006,"성남판교지구 A19-1,A20-1,A21-2BL 아파트 건설공사 친환경인증 설계",㈜희림종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,성남판교지구 A19-1BL 동양생명중형임대 아파트 건설공사 친환경인증 설계,㈜희림종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,은평 뉴타운 2지구 A공구 아파트 건설공사 (친환경 건축물 예비인증),㈜원양건축사사무소,친환경건축물 예비인증
2006,은평 뉴타운 2지구 A공구 아파트 건설공사 (친환경 건축물 예비인증),종합건축사사무소명승건축㈜,친환경건축물 예비인증
2006,부산만덕(5) 주거환경개선사업지구 공동주택 2블럭 기본 및 실시설계용역,㈜디에이그룹엔지니어링종합건축사사무소,친환경건축물 예비인증
2006,노근리 역사공원조성 기본계획 및 기본설계 용역 (경관성검토),㈜제일엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,창원봉림지구 B블록 공동주택 설계용역,㈜아키플랜종합건축사사무소,친환경건축물 예비인증
2006,05성남판교지구 아파트 건설공사 3공구 설계·시공 일괄입찰 기본 및 실시설계 용역,㈜무영종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,05성남판교지구 아파트 건설공사 3공구 설계·시공 일괄입찰 기본 및 실시설계 용역,㈜무영종합건축사사무소,친환경건축물 예비인증
2006,수원 화서주공2단지 아파트 재건축부지 경관시물레이션 용역,화서주공2단지아파트재건축정비사업조합,"경관, 토탈디자인 좋은빛 심의, 태양광"
2006,대구금호지구 A-3BL 공동주택 환기시스템의 환기성능해석 시물레이션 용역,㈜에이텍종합건축사사무소,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,안동시국도대체우회도로(교리-수상)건설공사대안입찰설계용역,㈜도화종합기술공사,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,행정초 외 5교 임대형민자사업(BTL) 기본설계용역,㈜솔빛건축사사무소엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2006,화성 향남지구 우방 유쉘아파트 신축공사 친환경건축물 본인증 대행 용역,㈜씨앤우방,친환경건축물 본인증
2006,판교지구 생활쓰레기 공기수집시스템 건설공사 실시설계 용역 중 공기흡입구 소음대책 시물레이션,㈜유신코퍼레이션,소음예측
2006,광장 자이아파트 신축으로 인한 인접 청구아파트 일조환경영향 평가,HNH개발㈜,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2006,은평 뉴타운 1지구 5~8단지 친환경건축물 예비인증 대행용역,㈜무영종합건축사사무소,친환경건축물 예비인증
2006,창원봉림 B지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,부천범박 B-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,"의왕포일 B-1,2지구 자연환기 성능평가 보고서 작성",대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,성남판교 A2-2지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,성남판교 A8-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,성남판교 A19-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,성남판교 A20-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,성남판교 A21-2지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,성남판교 B6-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,성남판교 B3-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,부산고촌 B-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,광명소하 C-1지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,광명소하 C-2지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,진해자은 B-2지구 자연환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,포항장량 2블록 환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,포항장량 7블록 환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2006,용인동백지구 실물측정 환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,07 울산교동2 지구 환기 성능평가 보고서 작성,대한주택공사,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,태백-미로 2-1도로건설공사 대안입찰 설계용역 열전달해석을 통한 터널의 동상 검토,㈜대정컨설턴트,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,대구율하2지구 C-2BL 공동주택 설계용역 - 친환경인증,㈜디에이그룹엔지니어링종합건축사사무소,친환경건축물 예비인증
2007,대구율하2지구 C-2BL 공동주택 설계용역 - 세대환기,㈜디에이그룹엔지니어링종합건축사사무소,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,안일고 외 3교 신축 민간투자사업 친환경계획컨설팅 용역,이연이앤씨㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,안일고 외 3교 신축 민간투자사업 친환경계획컨설팅 용역,㈜서광종합건설,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,안일고 외 3교 신축 민간투자사업 친환경계획컨설팅 용역,한울종합건설㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,안일고 외 3교 신축 민간투자사업 친환경계획컨설팅 용역,㈜강림건설,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,안일고 외 3교 신축 민간투자사업 친환경계획컨설팅 용역,모아건설산업㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,"서울시 이촌동 동부아파트 1동 재건축으로 인한 인접 미주아파트 A동의 일조,조망,프라이버시 환경영향 평가",동부아파트1동주택재건축정비사업조합,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2007,"판교 2공구 26-1, 27-1 BL 아파트 주택성능등급 인정 취득 용역",대림산업㈜,주택 성능등급인정
2007,"판교 2공구 26-1, 27-1 BL 건물에너지효율등급 인증 취득 용역",대림산업㈜,건축물 에너지효율등급 예비인증
2007,"판교 2공구 26-1, 27-1 BL 건물에너지효율등급 인증 취득 용역",대림산업㈜,건축물 에너지효율등급 본인증
2007,매천 화성파크드림 신축공사 친환경건축물 인증 대행용역,㈜화성개발,친환경건축물 예비인증
2007,매천 화성파크드림 신축공사 친환경건축물 인증 대행용역,㈜화성개발,친환경건축물 본인증
2007,부산명지주거단지 C-2BL 친환경예비인증 용역,㈜희림종합건축사사무소,친환경건축물 예비인증
2007,부산명지주거단지 C-3BL. 친환경예비인증 용역,㈜희림종합건축사사무소,친환경건축물 예비인증
2007,"광주 수완지구 C7-1,2 현진에버빌 신축공사 건축물 인증",㈜현진,친환경건축물 본인증
2007,"광주 수완지구 C14-1,2 현진에버빌 신축공사 친환경 건축물 인증",㈜현진,친환경건축물 본인증
2007,부산 정관 A-7 현진에버빌 신축공사 친환경 건축물 인증,㈜현진,친환경건축물 본인증
2007,고양 행신2지구 D3 BL 연립주택 친환경건축물 예비인증 대행 용역,신동아건설㈜,친환경건축물 예비인증
2007,오산 효성아파트 신축공사 친환경건축물 예비인증 용역,㈜효성,친환경건축물 예비인증
2007,남양주 진접 13BL 신안인스빌 신축공사 ,㈜신안,친환경건축물 예비인증
2007,남양주 진접 2BL 신안인스빌 신축공사,㈜신안,친환경건축물 예비인증
2007,"방배 2-6구역 주택 재건축아파트의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜미래새한감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2007,"방배 2-6구역 주택 재건축아파트의 세대별 일조, 조망, 프라이버시 및 소음환경 평가",㈜하나글로벌감정평가법인,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2007,남양주 별내지구 공동주택 설계용역,㈜건축사사무소원형,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,"대호금호지구 공동주택 B-1,B-2BL 계획설계 및 C-1,3BL 계획·기본·실시설계용역",㈜건축사사무소원형,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,대전 서남부 8BL 분양아파트 건설사업 설계용역,㈜희림종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,대전 서남부 8BL 분양아파트 건설사업 설계용역,㈜종합건축사사무소건원,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,대전 서남부 8BL 분양아파트 건설사업 설계용역,㈜도원엔지니어링건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,청주 강서지구 호반베르디움 친환경건축물 본인증 취득 용역,㈜호반건설,친환경건축물 예비인증
2007,광명소하지구 C-1블럭 공동주택 설계용역 친환경예비인증,㈜디에이그룹엔지니어링종합건축사사무소,친환경건축물 예비인증
2007,서울봉천교 외 3교 개축 임대형 민자(BTL)사업 기본설계,㈜천산건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,용인 흥덕지구 2-4 BL 신축공사 친환경인증,한국주택건설㈜,친환경건축물 예비인증
2007,용인 흥덕지구 2-4 BL 신축공사 친환경인증,한국주택건설㈜,친환경건축물 본인증
2007,"홍농~백수간 도로건설공사 직광, 결빙, 풍압, 안개분석 용역",㈜진우엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,"군장대교 건설공사 설계, 시공 일괄입찰 기본설계용역 안개위험도 분석",㈜용마엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,친환경 컨설팅 용역 - SK케미칼 판교사옥,에스케이건설㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,연간단위 일조 및 조망환경 영향 분석 용역,지에스건설㈜,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2007,"의정부민락(2)지구 B-5, B-6, A-7BL 공동주택 설계용역 (자연환기성능평가)",㈜종합건축사사무소건원,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,"의정부민락(2)지구 B-5, B-6 공동주택 설계용역 친환경건축물 예비인증 대행 용역",㈜종합건축사사무소건원,친환경건축물 예비인증
2007,의정부민락(2)지구 B-1BL 공동주택 환기시스템의 환기성능해석 시물레이션 용역,㈜에이텍종합건축사사무소,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,의정부민락(2)지구 B-1BL 공동주택 친환경 건축물 예비인증,㈜에이텍종합건축사사무소,친환경건축물 예비인증
2007,인천 박촌동 한양수자인 신축으로 인한 인접 한화아파트의 일조환경영향평가,㈜엑손아이디,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2007,부산정관2고 외 3개교 신축 임대형 민자사업(BTL)에 대한 설계용역,㈜상지E&A,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,부산정관2고 외 3개교 신축 임대형 민자사업(BTL)에 대한 설계용역,㈜부산건축종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,미래형 아파트 건설을 위한 친환경 시스템 개발 연구 용역,동문건설㈜ 기술연구소,연구용역
2007,행복도시 P4구역 공동주택 현상설계 (친환경컨설팅 및 환경성능 시물레이션 부분),예주건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,"청라지구 A-19BL 공동주택 설계용역 주택성능등급,에너지효율인증(실시설계)",㈜디에이그룹엔지니어링종합건축사사무소,주택 성능등급인정
2007,"청라지구 A-19BL 공동주택 설계용역 주택성능등급,에너지효율인증(실시설계)",㈜티씨엠씨건축사사무소,주택 성능등급인정
2007,완주 삼봉지구 A-1BL 공동주택 환기성능 평가 용역,㈜리종합건축사사무소,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2007,정선-북면 국도개량공사 타당성조사 및 기본설계용역 기후영향분석,㈜다산컨설턴트,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,행정도시·대전 유성 도로확장공사 기본설계,㈜천일기술단,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,행정도시·대전 유성 도로확장공사 기본설계,㈜동성엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,행정도시·대전 유성 도로확장공사 기본설계,동남이엔씨㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2007,아산방배지구 11BL T/K 기본설계용역 - 건축시물레이션,㈜원양종합건축사사무소,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
